@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute income numeric
@attribute density numeric
@attribute age numeric
@attribute unp_rate numeric
@attribute com_dens numeric
@attribute n_freq_attack {0,1}

@data
1189.680817,301.620442,40,9.3117,52,12,18,0
3135.467042,294.579848,46,2.8326,61,13,84,0
3236.082573,207.787543,28,0.4372,57,18,65,0
2503.938229,211.206199,66,21.9865,42,5,9,0
1284.404452,659.390195,44,0.0426,27,9,9,0
1843.722696,458.509749,72,7.804,43,2,9,0
614.486095,127.440741,40,1.0554,33,13,18,0
3082.737007,130.273398,44,4.9795,59,16,75,0
676.242304,851.81637,60,4.0355,30,7,18,0
1699.468762,618.071441,56,37.9623,45,7,28,0
912.721806,682.190239,50,29.9154,27,12,18,0
1559.43799,520.264096,34,6.5439,53,18,18,0
1027.521298,288.459679,34,20.1043,34,13,9,0
2130.670928,817.543353,58,12.5537,44,5,37,0
1503.096504,564.772928,34,8.8245,53,18,18,0
1031.534153,541.959945,60,1.9491,55,5,65,0
3017.109897,193.339135,58,28.9082,50,8,47,0
1595.849903,617.26183,28,13.6241,48,16,28,0
1927.179507,260.555881,62,1.2401,46,2,18,0
1009.163535,530.444002,62,10.0841,41,5,47,0
3235.868022,241.704955,28,0.4372,57,18,65,0
1722.710647,911.593868,56,5.5661,45,3,9,0
620.88987,561.928982,44,19.6764,48,13,9,0
2749.832385,723.098376,24,22.642,45,22,9,0
1234.269627,443.734143,64,28.5203,42,5,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
1541.492623,870.588458,30,4.1988,53,15,9,0
781.716273,577.775999,44,28.9335,41,11,22,0
2006.273332,47.04714,54,0.2537,47,8,18,0
1278.421802,1527.581074,24,12.1128,26,20,9,0
2958.077164,376.802195,48,4.6701,62,13,28,0
2485.595378,548.925449,70,2.743,53,3,18,0
1251.350353,439.94613,32,15.3238,25,18,28,0
1173.742253,710.121989,50,0.1558,35,5,9,0
1297.205003,489.298618,32,15.3238,25,18,28,0
1071.067156,703.928998,32,14.8614,31,17,28,0
486.121836,216.268121,22,17.6114,30,22,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
3884.400351,162.380058,28,25.5019,48,18,18,0
2485.595378,548.925449,70,2.743,53,3,18,0
977.485239,443.328788,50,8.9961,40,7,37,0
952.924844,417.344246,60,27.1108,32,8,18,0
766.972526,708.449781,42,41.1218,46,17,9,0
1297.205003,489.298618,32,15.3238,25,18,28,0
2224.691936,721.20794,64,0.1389,54,5,37,0
1820.969591,528.410953,36,16.5618,51,14,28,0
2955.885598,180.798194,40,25.0405,50,10,47,0
1984.537827,198.403851,58,5.3141,39,7,18,0
1783.291715,666.638593,30,22.7882,35,17,18,0
3281.180211,353.578198,36,9.6532,62,16,84,0
3477.8628,209.029862,26,7.1363,55,18,65,0
766.972526,708.449781,42,41.1218,46,17,9,0
3900.689329,463.674443,30,3.9969,61,15,9,0
2407.81719,331.519746,50,5.3711,55,8,56,0
2052.935663,457.622941,50,3.8452,53,6,9,0
1087.271909,617.975266,50,2.4051,27,13,9,0
953.660102,757.021778,60,14.1078,35,7,37,0
1445.74694,121.597063,58,32.0845,42,3,9,0
3087.789302,131.644004,44,4.9795,59,16,75,0
1674.20191,467.074715,62,16.373,42,2,9,0
3160.585224,116.819106,38,6.8695,63,13,28,0
1665.335128,597.890521,50,19.1981,51,12,18,0
728.155361,436.002489,30,14.6857,27,16,9,0
1445.74694,121.597063,58,32.0845,42,3,9,0
1634.480778,855.216214,30,4.2939,30,18,9,0
3281.180211,353.578198,36,9.6532,62,16,84,0
2833.199507,1516.315407,58,15.8297,42,4,9,0
1789.459783,798.602612,34,2.9949,35,15,9,0
3573.927051,246.388056,34,3.9445,61,13,37,0
2164.440762,148.144984,64,16.8918,35,3,9,0
3444.822899,391.299807,36,9.9272,55,15,37,0
2833.199507,1516.315407,58,15.8297,42,4,9,0
2224.691936,721.20794,64,0.1389,54,5,37,0
1173.742253,710.121989,50,0.1558,35,5,9,0
2955.885598,180.798194,40,25.0405,50,10,47,0
3198.841517,284.272755,34,0.2874,57,13,84,0
2933.197754,138.100978,60,27.0824,45,7,37,0
4388.970835,271.721968,26,26.5047,59,17,18,0
1421.306264,603.482182,40,1.7491,46,13,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
2868.92323,305.353138,22,0.9716,61,23,28,0
2051.136945,269.98475,48,10.7571,52,10,47,0
2939.661625,365.224278,56,1.505,47,9,9,0
702.493929,571.102908,38,9.1194,49,13,9,0
2077.05739,289.256361,42,3.6254,50,13,18,0
702.493929,571.102908,38,9.1194,49,13,9,0
1781.615851,626.544283,44,27.8353,42,8,37,0
2485.595378,548.925449,70,2.743,53,3,18,0
724.34312,666.719118,42,6.7953,28,12,9,0
2939.661625,365.224278,56,1.505,47,9,9,0
2868.92323,305.353138,22,0.9716,61,23,28,0
2939.661625,365.224278,56,1.505,47,9,9,0
1619.996068,449.79934,48,6.3624,50,14,18,0
3198.841517,284.272755,34,0.2874,57,13,84,0
1278.421802,1527.581074,24,12.1128,26,20,9,0
3281.180211,353.578198,36,9.6532,62,16,84,0
2008.137872,652.809688,54,22.8402,37,4,28,0
2958.077164,376.802195,48,4.6701,62,13,28,0
3087.789302,131.644004,44,4.9795,59,16,75,0
1820.969591,528.410953,36,16.5618,51,14,28,0
847.292865,169.952212,42,24.5174,27,10,37,0
3247.671185,519.949242,40,30.9691,49,18,28,0
2939.661625,365.224278,56,1.505,47,9,9,0
1171.267811,356.030163,30,15.3238,28,20,28,0
2939.661625,365.224278,56,1.505,47,9,9,0
2008.137872,652.809688,54,22.8402,37,4,28,0
2939.661625,365.224278,56,1.505,47,9,9,0
2161.643014,518.323739,44,2.6551,50,12,37,0
2939.661625,365.224278,56,1.505,47,9,9,0
2176.146061,433.029765,18,8.244,61,22,28,0
979.179223,1297.637281,50,12.0103,30,7,9,0
2958.077164,376.802195,48,4.6701,62,13,28,0
3573.927051,246.388056,34,3.9445,61,13,37,0
3135.467042,294.579848,46,2.8326,61,13,84,0
847.292865,169.952212,42,24.5174,27,10,37,0
352.774678,202.129722,40,0.0475,52,18,9,0
3247.671185,519.949242,40,30.9691,49,18,28,0
1781.615851,626.544283,44,27.8353,42,8,37,0
2591.745186,420.479763,54,2.743,51,11,18,0
2075.984463,257.840099,48,10.7571,52,10,47,0
657.116762,315.482641,32,8.2018,27,17,9,0
1748.903181,448.74363,38,4.8337,50,13,18,0
1475.9037,255.530864,34,1.0732,45,13,9,0
1748.903181,448.74363,38,4.8337,50,13,18,0
775.823973,573.317163,42,33.3544,35,12,18,0
2033.003514,466.85652,54,5.6835,48,8,28,0
765.838055,831.463581,64,7.9596,45,2,65,0
3540.232126,409.476277,32,0.1003,50,17,18,0
628.968532,324.025699,36,0.0814,27,13,9,0
2201.177267,330.304513,60,0,45,6,18,0
2165.826806,166.143157,48,4.5215,55,12,37,0
2939.661625,365.224278,56,1.505,47,9,9,0
1722.438809,205.315318,26,25.8265,47,22,9,0
505.797737,463.807374,56,0,35,2,9,0
628.968532,324.025699,36,0.0814,27,13,9,0
