address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Praca Oriente Loja G 208 Lisbon,BANCO BPI S.A.,BPI15,-9.13934,38.72225,Arroios,4,2939.661625,365.2242779,56,1.505,47,9,9,0,0,5,1,3,2,2,0
Estacao Da CP De Benfica - Passagem Inferior Lisbon,BANCO BPI S.A.,BPI16,-9.13934,38.72225,Arroios,4,2939.661625,365.2242779,56,1.505,47,9,9,0,0,5,1,3,2,2,0
Avenida Santo Condestavel S/N Lisbon,BANCO BPI S.A.,BPI18,-9.11817,38.7507,Marvila,13,1697.093983,445.1773649,28,0.0207,47,17,9,0,0,2,1,3,4,2,0
Avenida Almirante Gago Coutinho S/N Lisbon,BANCO BPI S.A.,BPI19,-9.13065,38.75269,Marvila,13,1157.85955,515.6839964,64,1.4131,45,4,9,0,0,6,1,3,1,2,0
Rua Helena Vaz Da Silva 6 Lisbon,BANCO BPI S.A.,BPI20,-9.15512,38.77636,Lumiar,12,1728.444754,242.8540103,38,0,31,13,9,0,0,3,1,1,3,2,0
Avenida Fontes Pereira De Melo 33 Lisbon,BANCO BPI S.A.,BPI21,-9.147,38.73069,Avenidas Novas,5,2162.116232,240.3663557,50,4.5215,55,8,56,0,0,5,1,4,2,5,0
Avenida De Padua Lisbon,BANCO BPI S.A.,BPI22,-9.10463,38.76294,Olivais,15,1856.860219,1149.992088,56,12.9273,37,6,9,0,0,5,2,2,2,2,0
Avenida Padre Cruz Lisbon,BANCO BPI S.A.,BPI23,-9.16497,38.76806,Lumiar,12,1154.016248,600.8246976,48,7.7402,33,10,9,0,0,5,2,2,3,2,0
Rua Dom Pedro V 101 Lisbon,BANCO BPI S.A.,BPI25,-9.14702,38.71583,Santo Antonio,19,2390.813144,252.9057428,58,16.5388,53,4,18,0,0,6,3,4,1,2,0
Alameda Oceanos Lisbon,BANCO BPI S.A.,BPI26,-9.09583,38.76925,Parque das Na,16,2069.442947,608.9672561,64,0,54,5,37,0,0,6,1,4,2,4,0
Rua Arco Do Cego 69a Lisbon,BANCO BPI S.A.,BPI27,-9.1429,38.74022,Avenidas Novas,5,1969.686545,314.3813212,56,16.7061,43,3,18,0,0,5,3,3,1,2,0
