address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,event_date,detec_date,gross_loss,indirect_loss,net_loss,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Avenida Lusiada Lisbon,NOVO BANCO,NB40,-9.18017,38.75002,Carnide,10,676.242304325,851.816370282,60,4.0355,30,7,18,2015-08-23 22:00:00,2015-08-24 08:35:00,15000,0,15000,1,1,6,1,1,2,2,1
Praca Norte 6 Lisbon,NOVO BANCO,NB44,-9.11965,38.77697,Olivais,15,690.272277601,1071.32386832,36,5.0162,31,20,9,2010-09-03 20:30:00,2010-09-08 15:00:00,160,0,160,1,1,3,1,1,5,2,1
Azinhaga Galhardas 33 Lisbon,NOVO BANCO,NB45,-9.16612,38.75496,Lumiar,12,602.455118033,860.686716065,50,21.2956,45,6,9,2015-10-19 02:00:00,2015-10-19 02:10:00,18000,0,0,1,0,5,3,3,2,2,1
Rua Professor Reinaldo Dos Santos Lote 1 Lisbon,NOVO BANCO,NB46,-9.18873,38.74751,Carnide,10,550.331568192,853.583819623,44,17.0117,30,13,18,2012-12-03 20:30:00,2012-12-07 17:00:00,150,0,150,1,1,4,3,1,3,2,1
Rua Professor Joao Barreira 1-1a Lisbon,NOVO BANCO,NB59,-9.17096,38.76161,Lumiar,12,464.381529846,542.979666765,48,6.317,26,11,9,2010-04-02 14:00:00,2010-04-02 18:00:00,6400,0,6400,1,1,5,2,1,3,2,1
Avenida Professor Egas Moniz Lisbon,NOVO BANCO,NB67,-9.16161,38.75009,Avenidas Novas,5,724.470390644,1292.0561817,50,0.0039,45,6,9,2011-04-05 10:45:00,2011-04-10 10:00:00,100,0,100,1,1,5,1,3,2,2,1
Palma De Cima Lisbon,NOVO BANCO,NB83,-9.16603,38.74923,Avenidas Novas,5,573.513874758,1378.47372311,68,0.0,40,4,9,2013-11-19 09:00:00,2013-11-19 09:15:00,1000,0,1000,1,1,6,1,2,1,2,1
Palma De Cima Lisbon,NOVO BANCO,NB92,-9.16603,38.74923,Avenidas Novas,5,573.513874758,1378.47372311,68,0.0,40,4,9,2011-08-06 11:00:00,2011-08-06 11:15:00,0,0,0,1,0,6,1,2,1,2,1
Avenida Lusiada Lisbon,NOVO BANCO,NB93,-9.18017,38.75002,Carnide,10,676.242304325,851.816370282,60,4.0355,30,7,18,2014-11-21 18:15:00,2014-11-28 15:40:00,50,0,50,1,1,6,1,1,2,2,1
Estrada Da Luz 177 a Lisbon,BANCO NACIONAL DE CREDITO IMOBILIARIO,NCI12,-9.17678,38.75554,Carnide,10,455.035152073,930.656398097,50,33.0763,26,7,9,2011-05-25 10:00:00,2011-05-30 12:00:00,200,0,200,1,1,5,4,1,2,2,1
